Distribuição da população da USP por gênero e por Unidade;;;;;
 ;;;;;
Fonte de dados: Sistemas Janus, Júpiter e Marte;;;;;
Ano de referência: 2022;;;;;
Processado em: 2023;;;;;
;;;;;
Tipo de Unidade;Unidade;Sexo;Categoria;Subcategoria;Total
A - Ensino e Pesquisa;EEL;Feminino;Aluno;Total;1123
A - Ensino e Pesquisa;EEL;Feminino;Pós-Doutorando;Pós-Doutorando;11
A - Ensino e Pesquisa;EEL;Feminino;Servidor;Docente;33
A - Ensino e Pesquisa;EEL;Feminino;Servidor;Tec/Adm;6
A - Ensino e Pesquisa;EEL;Feminino;Total;Total;1173
A - Ensino e Pesquisa;EEL;Masculino;Aluno;Graduação;1246
A - Ensino e Pesquisa;EEL;Masculino;Aluno;Pós-Graduação;161
A - Ensino e Pesquisa;EEL;Masculino;Aluno;Total;1407
A - Ensino e Pesquisa;EEL;Masculino;Pós-Doutorando;Pós-Doutorando;12
A - Ensino e Pesquisa;EEL;Masculino;Servidor;Docente;50
A - Ensino e Pesquisa;EEL;Masculino;Servidor;Tec/Adm;7
A - Ensino e Pesquisa;EEL;Masculino;Total;Total;1476
A - Ensino e Pesquisa;EERP;Feminino;Aluno;Graduação;517
A - Ensino e Pesquisa;EERP;Feminino;Aluno;Pós-Graduação;503
A - Ensino e Pesquisa;EERP;Feminino;Aluno;Total;1020
A - Ensino e Pesquisa;EERP;Feminino;Pós-Doutorando;Pós-Doutorando;37
A - Ensino e Pesquisa;EERP;Feminino;Servidor;Docente;77
A - Ensino e Pesquisa;EERP;Feminino;Servidor;Tec/Adm;56
A - Ensino e Pesquisa;EERP;Feminino;Total;Total;1190
A - Ensino e Pesquisa;EERP;Masculino;Aluno;Graduação;81
A - Ensino e Pesquisa;EERP;Masculino;Aluno;Pós-Graduação;152
A - Ensino e Pesquisa;EERP;Masculino;Aluno;Total;233
A - Ensino e Pesquisa;EERP;Masculino;Pós-Doutorando;Pós-Doutorando;14
A - Ensino e Pesquisa;EERP;Masculino;Servidor;Docente;8
A - Ensino e Pesquisa;EERP;Masculino;Servidor;Tec/Adm;44
A - Ensino e Pesquisa;EERP;Masculino;Total;Total;299
A - Ensino e Pesquisa;EESC;Feminino;Aluno;Graduação;618
A - Ensino e Pesquisa;EESC;Feminino;Aluno;Pós-Graduação;362
A - Ensino e Pesquisa;EESC;Feminino;Aluno;Total;980
A - Ensino e Pesquisa;EESC;Feminino;Pós-Doutorando;Pós-Doutorando;51
A - Ensino e Pesquisa;EESC;Feminino;Servidor;Docente;24
A - Ensino e Pesquisa;EESC;Feminino;Servidor;Tec/Adm;111
A - Ensino e Pesquisa;EESC;Feminino;Total;Total;1166
A - Ensino e Pesquisa;EESC;Masculino;Aluno;Graduação;2001
A - Ensino e Pesquisa;EESC;Masculino;Aluno;Pós-Graduação;764
A - Ensino e Pesquisa;EESC;Masculino;Aluno;Total;2765
A - Ensino e Pesquisa;EESC;Masculino;Pós-Doutorando;Pós-Doutorando;66
A - Ensino e Pesquisa;EESC;Masculino;Servidor;Docente;146
A - Ensino e Pesquisa;EESC;Masculino;Servidor;Tec/Adm;183
A - Ensino e Pesquisa;EESC;Masculino;Total;Total;3160
A - Ensino e Pesquisa;EP;Feminino;Aluno;Graduação;1021
A - Ensino e Pesquisa;EP;Feminino;Aluno;Pós-Graduação;656
A - Ensino e Pesquisa;EP;Feminino;Aluno;Total;1677
A - Ensino e Pesquisa;EP;Feminino;Pós-Doutorando;Pós-Doutorando;71
A - Ensino e Pesquisa;EP;Feminino;Servidor;Docente;53
A - Ensino e Pesquisa;EP;Feminino;Servidor;Tec/Adm;138
A - Ensino e Pesquisa;EP;Feminino;Total;Total;1939
A - Ensino e Pesquisa;EP;Masculino;Aluno;Graduação;4058
A - Ensino e Pesquisa;EP;Masculino;Aluno;Pós-Graduação;2196
A - Ensino e Pesquisa;EP;Masculino;Aluno;Total;6254
A - Ensino e Pesquisa;EP;Masculino;Pós-Doutorando;Pós-Doutorando;163
A - Ensino e Pesquisa;EP;Masculino;Servidor;Docente;332
A - Ensino e Pesquisa;EP;Masculino;Servidor;Tec/Adm;238
A - Ensino e Pesquisa;EP;Masculino;Total;Total;6987
A - Ensino e Pesquisa;ESALQ;Feminino;Aluno;Graduação;1013
